OATC,CorrectedRunwayLengthM,MaxTakeoffWeightT,V1Kt,VRKt,V2Kt,LimitationCode
18.0,2750,79.25,139,141,152,7
18.0,3000,79.25,141,141,152,7
19.0,1000,47.04,108,123,138,4
19.0,1250,56.94,110,124,138,4
19.0,1500,64.3,118,128,141,4
19.0,1750,68.9,125,132,145,4
19.0,2000,73.4,131,136,148,4
19.0,2250,77.39,137,139,150,4
19.0,2500,79.25,139,141,152,7
19.0,2750,79.25,139,141,152,7
19.0,3000,79.25,141,141,152,7
20.0,1000,47.1,108,123,138,4
20.0,1250,56.8,110,124,138,4
20.0,1500,64.2,118,128,141,4
20.0,1750,68.8,125,132,145,4
20.0,2000,73.3,131,136,148,4
20.0,2250,77.3,137,139,150,4
20.0,2500,79.25,139,141,152,7
20.0,2750,79.25,139,141,152,7
20.0,3000,79.25,141,141,152,7
21.0,1000,47.16,108,123,138,4
21.0,1250,56.68,110,124,138,4
21.0,1500,64.08,118,128,141,4
21.0,1750,68.7,125,132,145,4
21.0,2000,73.2,131,136,148,4
21.0,2250,77.2,137,139,150,4
21.0,2500,79.25,139,141,152,7
21.0,2750,79.25,139,141,152,7
21.0,3000,79.25,141,141,152,7
22.0,1000,47.21,108,123,138,4
22.0,1250,56.56,110,124,138,4
22.0,1500,63.96,118,128,141,4
22.0,1750,68.6,125,132,145,4
22.0,2000,73.1,131,136,148,4
22.0,2250,77.1,137,139,150,4
22.0,2500,79.25,139,141,152,7
22.0,2750,79.25,139,141,152,7
22.0,3000,79.25,141,141,152,7
23.0,1000,47.26,108,123,138,4
23.0,1250,56.44,109,123,138,4
23.0,1500,63.84,117,128,141,4
23.0,1750,68.5,124,132,144,4
23.0,2000,73.0,130,135,147,4
23.0,2250,77.0,136,139,150,4
23.0,2500,79.25,139,141,152,7
23.0,2750,79.25,139,141,152,7
23.0,3000,79.25,141,141,152,7
24.0,1000,47.32,108,123,138,4
24.0,1250,56.32,109,123,138,4
24.0,1500,63.72,117,128,141,4
24.0,1750,68.4,124,132,144,4
24.0,2000,72.9,130,135,147,4
24.0,2250,76.9,136,139,150,4
24.0,2500,79.25,139,141,152,7
24.0,2750,79.25,139,141,152,7
24.0,3000,79.25,141,141,152,7
25.0,1000,47.38,108,123,138,4
25.0,1250,56.2,109,123,138,4
25.0,1500,63.6,117,128,141,4
25.0,1750,68.3,124,132,144,4
25.0,2000,72.8,130,135,147,4
25.0,2250,76.8,136,139,150,4
